转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
spd[0.0_0.0_10.0_0.0]	-48.255400	-35987.172900	18.110200	0.018966	9.801791	-0.007964	25.000000	25.000000	25.000000	25.428056	25.428056	25.428056	8.233823	0.963700	8.244820	0.002039	0.000063	0.002043	36
spd[0.0_0.0_-10.0_0.0]	48.223600	36006.424900	-17.860900	0.019004	9.801801	-0.007957	25.775278	25.775278	25.775278	26.000000	26.000000	26.000000	8.327740	1.107910	8.171705	0.002029	0.000079	0.002043	36
spd[0.0_0.0_50.0_0.0]	-240.946700	-179974.154300	89.466800	0.186954	9.801601	-0.072853	26.000000	26.000000	26.000000	26.000000	26.000000	26.000000	7.946893	2.591914	8.102755	0.002007	0.000070	0.001983	36
spd[0.0_0.0_-50.0_0.0]	240.701400	179993.480700	-89.243500	0.186708	9.801590	-0.073621	26.000000	26.000000	26.000000	27.000000	27.000000	27.000000	8.005500	2.406469	8.049802	0.001997	0.000065	0.001944	36
spd[0.0_0.0_100.0_0.0]	-481.784100	-359957.466200	178.736800	0.712306	9.800913	-0.274228	26.000000	26.000000	26.000000	27.000000	27.000000	27.000000	7.282950	2.530275	7.324548	0.001767	0.000091	0.001803	36
spd[0.0_0.0_-100.0_0.0]	481.740300	359976.605200	-178.072700	0.710023	9.800882	-0.280341	26.000000	26.000000	26.000000	27.000000	27.000000	27.000000	7.284129	2.648470	7.245595	0.001781	0.000088	0.001762	36
spd[0.0_0.0_150.0_0.0]	-722.997400	-539939.595800	267.965600	1.589079	9.799730	-0.607124	26.000000	26.000000	26.000000	27.000000	27.000000	27.000000	6.126393	2.689148	6.183255	0.001555	0.000100	0.001500	36
spd[0.0_0.0_-150.0_0.0]	723.519600	539962.664100	-267.398700	1.581115	9.799724	-0.627725	26.029722	26.029722	26.029722	27.000000	27.000000	27.000000	6.170676	2.424278	6.115337	0.001496	0.000091	0.001510	36
spd[0.0_0.0_180.0_0.0]	-868.361200	-647936.661700	321.851300	2.284088	9.798793	-0.868943	27.000000	27.000000	27.000000	27.000000	27.000000	27.000000	4.081378	2.441677	6.338154	0.001175	0.000111	0.001425	36
spd[0.0_0.0_-180.0_0.0]	868.824400	647957.416800	-320.951200	2.270404	9.798783	-0.904615	27.000000	27.000000	27.000000	27.142639	27.142639	27.142639	7.228672	3.321569	1.230207	0.000651	0.000121	0.001673	36
spd[0.0_0.0_0.0_10.0]	197.469200	18.286000	35997.604500	-0.030548	-0.025811	0.003433	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	9.953560	11.800715	3.181822	7.022694	7.016871	0.039485	36
spd[0.0_0.0_0.0_-10.0]	-197.581500	-18.278200	-35994.045500	0.017814	0.052967	0.003015	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	11.712844	9.876041	3.093680	7.004050	7.035497	0.039612	36
spd[0.0_0.0_0.0_50.0]	988.390700	91.423400	179981.237000	0.177762	0.189224	0.002082	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	8.651174	16.683805	15.525555	6.788879	6.826969	0.038890	36
spd[0.0_0.0_0.0_-50.0]	-987.898500	-91.424800	-179976.395200	0.223847	0.134715	0.001829	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	15.997931	9.860421	14.608839	6.826419	6.789385	0.039666	36
spd[0.0_0.0_0.0_100.0]	1976.508700	183.227000	359960.168400	0.746034	0.554172	-0.001495	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	10.422886	22.366277	27.874513	6.194654	6.145944	0.036095	36
spd[0.0_0.0_0.0_-100.0]	-1976.072400	-183.348900	-359955.659200	0.684248	0.602399	-0.001091	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	20.159312	15.057861	25.592373	6.152278	6.188219	0.037248	36
spd[0.0_0.0_0.0_150.0]	2965.402100	277.072400	539941.294200	1.605762	1.306339	-0.006909	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	13.187416	25.865631	110.386839	5.199032	5.174883	0.031192	36
spd[0.0_0.0_0.0_-150.0]	-2965.395000	-276.528800	-539933.851100	1.540021	1.230397	-0.006638	27.000000	27.000000	27.000000	28.000000	28.000000	28.000000	22.644817	21.121691	173.394741	5.229930	5.144298	0.033911	36
