转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
spd[0.0_0.0_10.0_0.0]	-47.219900	-35988.381700	19.685000	0.018855	9.801420	-0.008483	-30.000000	-30.000000	-30.000000	-29.000000	-29.000000	-29.000000	8.364631	1.253460	8.207256	0.002063	0.000079	0.002066	36
spd[0.0_0.0_-10.0_0.0]	47.026400	36006.479600	-20.523800	0.018922	9.801563	-0.008571	-29.171806	-29.171806	-29.171806	-28.000000	-28.000000	-28.000000	8.355085	1.164818	8.270166	0.002053	0.000062	0.002067	36
spd[0.0_0.0_50.0_0.0]	-236.362100	-179976.232600	100.236500	0.186644	9.801357	-0.073409	-29.000000	-29.000000	-29.000000	-28.000000	-28.000000	-28.000000	8.019529	1.978690	8.080272	0.001992	0.000066	0.002001	36
spd[0.0_0.0_-50.0_0.0]	236.419300	179995.271200	-101.053700	0.186400	9.801344	-0.074169	-29.000000	-29.000000	-29.000000	-28.000000	-28.000000	-28.000000	8.046638	2.407260	8.077039	0.001980	0.000090	0.002033	36
spd[0.0_0.0_100.0_0.0]	-473.630900	-359960.633700	201.306600	0.711312	9.800652	-0.274513	-29.000000	-29.000000	-29.000000	-28.000000	-28.000000	-28.000000	7.234623	2.801672	7.262962	0.001824	0.000082	0.001859	36
spd[0.0_0.0_-100.0_0.0]	474.080300	359981.364700	-202.366400	0.709068	9.800682	-0.280651	-29.000000	-29.000000	-29.000000	-27.021944	-27.021944	-27.021944	7.173441	3.012343	7.290379	0.001884	0.000095	0.001738	36
spd[0.0_0.0_150.0_0.0]	-712.340300	-539946.453700	303.160100	1.586943	9.799432	-0.607084	-29.000000	-29.000000	-29.000000	-27.000000	-27.000000	-27.000000	6.040985	2.959938	6.221601	0.001472	0.000099	0.001458	36
spd[0.0_0.0_-150.0_0.0]	713.366300	539968.164100	-304.054300	1.579046	9.799448	-0.627604	-28.460833	-28.460833	-28.460833	-27.000000	-27.000000	-27.000000	6.082229	3.521952	6.068139	0.001524	0.000101	0.001503	36
spd[0.0_0.0_180.0_0.0]	-856.446600	-647938.309600	364.925600	2.281058	9.798432	-0.868658	-28.000000	-28.000000	-28.000000	-27.000000	-27.000000	-27.000000	6.981786	3.871815	2.580736	0.001148	0.000119	0.001416	36
spd[0.0_0.0_-180.0_0.0]	856.468500	647961.198200	-365.497200	2.267351	9.798474	-0.904243	-28.000000	-28.000000	-28.000000	-27.000000	-27.000000	-27.000000	4.128431	4.106059	6.410877	0.001726	0.000093	0.000416	36
spd[0.0_0.0_0.0_10.0]	198.069500	20.550400	35998.637600	-0.032390	-0.023456	0.003623	-28.000000	-28.000000	-28.000000	-27.000000	-27.000000	-27.000000	9.862381	11.972984	3.352076	7.024562	7.014687	0.039561	36
spd[0.0_0.0_0.0_-10.0]	-198.233100	-21.854600	-35996.116400	0.017756	0.053097	0.003192	-28.000000	-28.000000	-28.000000	-26.932083	-26.932083	-26.932083	11.909991	9.596323	3.177032	7.003839	7.035335	0.039703	36
spd[0.0_0.0_0.0_50.0]	990.382300	104.951900	179988.779200	0.179854	0.189262	0.002220	-28.000000	-28.000000	-28.000000	-26.000000	-26.000000	-26.000000	8.686449	17.892389	16.122065	6.788868	6.826643	0.038696	36
spd[0.0_0.0_0.0_-50.0]	-990.043500	-105.940400	-179985.478100	0.223416	0.146947	0.001978	-28.000000	-28.000000	-28.000000	-26.000000	-26.000000	-26.000000	16.891239	10.045905	14.814516	6.825909	6.789413	0.040132	36
spd[0.0_0.0_0.0_100.0]	1980.309400	210.265800	359975.496900	0.715606	0.519666	-0.001236	-28.000000	-28.000000	-28.000000	-26.000000	-26.000000	-26.000000	11.057568	24.708633	29.211367	6.150777	6.189288	0.035735	36
spd[0.0_0.0_0.0_-100.0]	-1979.953100	-211.539900	-359972.434200	0.712906	0.606229	-0.001355	-27.689306	-27.689306	-27.689306	-26.000000	-26.000000	-26.000000	21.456502	16.895634	26.133193	6.145618	6.194321	0.037669	36
spd[0.0_0.0_0.0_150.0]	2970.910100	318.286600	539963.301800	1.548053	1.320991	-0.006761	-28.000000	-28.000000	-28.000000	-26.000000	-26.000000	-26.000000	14.764230	29.500372	106.660867	5.140109	5.234202	0.030348	36
spd[0.0_0.0_0.0_-150.0]	-2970.589800	-318.539200	-539958.774700	1.537137	1.271863	-0.006695	-27.000000	-27.000000	-27.000000	-26.000000	-26.000000	-26.000000	25.103426	24.121306	163.057737	5.232934	5.141351	0.033516	36
