转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
loc[0.0_0.0_0.0_0.0]	11.493500	9.580600	1.740100	0.012641	9.801865	-0.002379	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.273283	0.246699	0.313861	0.000091	0.000053	0.000092	36
loc[180.0_0.0_0.0_0.0]	-11.558300	9.520200	-1.666000	0.011446	9.801861	-0.007913	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.261316	0.250131	0.310650	0.000102	0.000052	0.000130	36
loc[180.0_180.0_0.0_0.0]	11.365500	-9.584800	-1.610100	-0.011743	-9.800757	0.002967	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.346867	0.251596	0.283852	0.000096	0.000086	0.000111	36
loc[0.0_180.0_0.0_0.0]	-11.489000	-9.531200	1.804600	-0.013162	-9.800777	0.008244	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.247144	0.313400	0.314165	0.000105	0.000086	0.000139	36
loc[90.0_0.0_0.0_0.0]	1.685500	9.670100	-11.256500	0.014832	9.801873	-0.005705	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.300569	0.320788	0.282641	0.000084	0.000066	0.000090	36
loc[270.0_0.0_0.0_0.0]	-1.615300	9.585900	11.540000	0.009274	9.801854	-0.004557	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.314854	0.319400	0.291623	0.000051	0.000058	0.000109	36
loc[270.0_180.0_0.0_0.0]	-1.661400	-9.635800	-11.330600	-0.015067	-9.800741	0.004896	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.267488	0.326624	0.352729	0.000119	0.000076	0.000101	36
loc[90.0_180.0_0.0_0.0]	1.763600	-9.655100	11.607200	-0.009805	-9.800759	0.006300	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.246287	0.268658	0.268849	0.000135	0.000063	0.000112	36
loc[0.0_90.0_0.0_0.0]	9.610700	-11.490000	1.748100	9.800781	-0.013194	-0.051319	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.361393	0.246209	0.358281	0.000071	0.000154	0.000122	36
loc[180.0_90.0_0.0_0.0]	-9.627000	-11.468400	-1.503600	-9.801320	0.010876	0.051992	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.275319	0.281077	0.323794	0.000068	0.000167	0.000129	36
loc[180.0_270.0_0.0_0.0]	9.631200	11.468200	-1.546500	9.800742	-0.012224	-0.057609	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.258773	0.295752	0.270671	0.000046	0.000088	0.000111	36
loc[0.0_270.0_0.0_0.0]	-9.616100	11.427100	1.798500	-9.801298	0.011801	0.058291	28.000000	28.000000	28.000000	29.000000	29.000000	29.000000	0.285360	0.289880	0.283122	0.000053	0.000190	0.000140	36
