转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
loc[0.0_0.0_0.0_0.0]	11.602700	9.436000	1.572200	0.012688	9.801771	-0.001991	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.333826	0.317749	0.301443	0.000045	0.000064	0.000120	36
loc[180.0_0.0_0.0_0.0]	-11.297000	9.622100	-1.647600	0.011430	9.801771	-0.007538	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.284970	0.357139	0.293229	0.000044	0.000046	0.000114	36
loc[180.0_180.0_0.0_0.0]	11.465600	-9.674500	-1.729400	-0.011573	-9.800471	0.002880	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.299953	0.285981	0.346660	0.000137	0.000063	0.000105	36
loc[0.0_180.0_0.0_0.0]	-11.295900	-9.636700	1.709200	-0.013106	-9.800479	0.008235	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.368500	0.338631	0.304438	0.000068	0.000074	0.000095	36
loc[90.0_0.0_0.0_0.0]	1.744700	9.566200	-11.580600	0.014851	9.801780	-0.005340	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.269448	0.287677	0.326534	0.000094	0.000064	0.000104	36
loc[270.0_0.0_0.0_0.0]	-1.449600	9.647400	11.432100	0.009301	9.801771	-0.004136	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.345619	0.351754	0.324620	0.000038	0.000068	0.000132	36
loc[270.0_180.0_0.0_0.0]	-1.727000	-9.765300	-11.427300	-0.015017	-9.800456	0.004765	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.296969	0.308515	0.275136	0.000138	0.000092	0.000070	36
loc[90.0_180.0_0.0_0.0]	1.938300	-9.735700	11.363700	-0.009657	-9.800474	0.006277	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.311924	0.281738	0.306948	0.000086	0.000052	0.000066	36
loc[0.0_90.0_0.0_0.0]	9.717500	-11.569900	1.552600	9.800607	-0.013046	-0.051060	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.271877	0.318226	0.303567	0.000061	0.000158	0.000087	36
loc[180.0_90.0_0.0_0.0]	-9.523500	-11.603800	-1.772200	-9.800943	0.010719	0.052097	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.264481	0.291458	0.332998	0.000053	0.000149	0.000092	36
loc[180.0_270.0_0.0_0.0]	9.770500	11.204400	-1.747800	9.800582	-0.011989	-0.057405	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.340079	0.280891	0.320437	0.000050	0.000089	0.000152	36
loc[0.0_270.0_0.0_0.0]	-9.424900	11.374200	1.567700	-9.800918	0.011755	0.058356	52.000000	52.000000	52.000000	53.000000	53.000000	53.000000	0.256641	0.327282	0.363998	0.000052	0.000129	0.000099	36
