转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
loc[0.0_0.0_0.0_0.0]	11.644300	9.207000	1.533600	0.012698	9.801768	-0.002988	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.248388	0.250520	0.336253	0.000116	0.000067	0.000089	36
loc[180.0_0.0_0.0_0.0]	-11.415100	9.287700	-1.728300	0.011443	9.801762	-0.008568	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.292830	0.274144	0.310484	0.000062	0.000079	0.000080	36
loc[180.0_180.0_0.0_0.0]	11.606100	-10.060900	-1.725200	-0.012277	-9.800740	0.003560	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.240400	0.318250	0.343065	0.000094	0.000063	0.000155	36
loc[0.0_180.0_0.0_0.0]	-11.234500	-9.979300	1.576900	-0.013739	-9.800687	0.008762	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.267320	0.263432	0.332019	0.000098	0.000064	0.000101	36
loc[90.0_0.0_0.0_0.0]	1.845100	9.237800	-11.591300	0.014833	9.801745	-0.006377	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.281496	0.277112	0.313125	0.000090	0.000056	0.000085	36
loc[270.0_0.0_0.0_0.0]	-1.453100	9.285000	11.320800	0.009270	9.801755	-0.005227	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.273803	0.311468	0.300733	0.000113	0.000051	0.000108	36
loc[270.0_180.0_0.0_0.0]	-1.657500	-9.929800	-11.660200	-0.015610	-9.800746	0.005461	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.281152	0.310693	0.298483	0.000149	0.000069	0.000120	36
loc[90.0_180.0_0.0_0.0]	1.895500	-10.009400	11.277400	-0.010418	-9.800730	0.006917	-7.166944	-7.166944	-7.166944	-6.000000	-6.000000	-6.000000	0.230603	0.232439	0.300002	0.000122	0.000047	0.000077	36
loc[0.0_90.0_0.0_0.0]	9.682300	-11.905800	1.571100	9.800253	-0.013567	-0.051287	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.359115	0.292762	0.302018	0.000064	0.000197	0.000095	36
loc[180.0_90.0_0.0_0.0]	-9.495500	-11.691100	-1.738100	-9.801420	0.011259	0.051908	-8.000000	-8.000000	-8.000000	-6.000000	-6.000000	-6.000000	0.239542	0.367748	0.297089	0.000046	0.000126	0.000100	36
loc[180.0_270.0_0.0_0.0]	9.696500	11.102500	-1.918100	9.800253	-0.012610	-0.057558	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.324022	0.322796	0.353614	0.000054	0.000100	0.000123	36
loc[0.0_270.0_0.0_0.0]	-9.385700	11.220000	1.645900	-9.801354	0.012200	0.058207	-7.000000	-7.000000	-7.000000	-6.000000	-6.000000	-6.000000	0.266400	0.294311	0.272920	0.000063	0.000139	0.000105	36
