转台	陀螺X_mean	陀螺Y_mean	陀螺Z_mean	加表X_mean	加表Y_mean	加表Z_mean	陀螺X温度	陀螺Y温度	陀螺Z温度	加表X温度	加表Y温度	加表Z温度	陀螺X_std	陀螺Y_std	陀螺Z_std	加表X_std	加表Y_std	加表Z_std	取数长度
spd[0.0_0.0_10.0_0.0]	-48.240200	-35989.979500	16.851700	0.019074	9.801811	-0.007581	69.000000	69.000000	69.000000	69.000000	69.000000	69.000000	8.376387	1.335126	8.274792	0.002056	0.000061	0.002063	36
spd[0.0_0.0_-10.0_0.0]	48.543300	36008.739100	-17.114200	0.019107	9.801792	-0.007583	69.247500	69.247500	69.247500	70.000000	70.000000	70.000000	8.292436	1.614628	8.360402	0.002052	0.000059	0.002060	36
spd[0.0_0.0_50.0_0.0]	-241.513600	-179982.924100	84.407400	0.187225	9.801608	-0.072562	70.000000	70.000000	70.000000	70.000000	70.000000	70.000000	8.043681	3.709424	8.020000	0.001986	0.000085	0.001979	36
spd[0.0_0.0_-50.0_0.0]	241.892800	180001.963900	-84.710100	0.186969	9.801678	-0.073380	70.000000	70.000000	70.000000	70.000000	70.000000	70.000000	8.066506	3.496347	8.005021	0.001995	0.000073	0.002010	36
spd[0.0_0.0_100.0_0.0]	-483.668600	-359970.588000	168.866400	0.713150	9.801003	-0.274201	70.000000	70.000000	70.000000	71.000000	71.000000	71.000000	7.348200	4.305255	7.349109	0.001802	0.000081	0.001880	36
spd[0.0_0.0_-100.0_0.0]	484.179300	359990.836300	-168.453000	0.710848	9.800995	-0.280338	70.000000	70.000000	70.000000	71.000000	71.000000	71.000000	7.386065	3.041318	7.333436	0.001749	0.000091	0.001772	36
spd[0.0_0.0_150.0_0.0]	-726.452900	-539956.119900	252.605100	1.590853	9.799904	-0.607419	70.000000	70.000000	70.000000	71.000000	71.000000	71.000000	6.104190	3.846119	6.134541	0.001518	0.000106	0.001580	36
spd[0.0_0.0_-150.0_0.0]	727.013100	539977.814400	-251.956100	1.583009	9.799934	-0.628007	70.000000	70.000000	70.000000	71.000000	71.000000	71.000000	6.137822	2.689019	6.170217	0.001541	0.000106	0.001503	36
spd[0.0_0.0_180.0_0.0]	-872.178800	-647946.190200	302.427700	2.286743	9.799025	-0.869541	71.000000	71.000000	71.000000	71.000000	71.000000	71.000000	6.357363	2.573541	4.091375	0.000459	0.000094	0.001806	36
spd[0.0_0.0_-180.0_0.0]	873.571600	647967.619600	-302.109800	2.272925	9.799026	-0.905253	71.000000	71.000000	71.000000	71.000000	71.000000	71.000000	7.245235	3.067743	1.728114	0.000444	0.000101	0.001823	36
spd[0.0_0.0_0.0_10.0]	197.772700	17.418200	35997.993600	-0.030177	-0.026012	0.003385	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	10.084198	11.573052	3.061295	7.022326	7.017144	0.039420	36
spd[0.0_0.0_0.0_-10.0]	-197.437700	-18.059100	-35994.943100	0.018270	0.053019	0.003064	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	11.679864	10.039270	3.180186	7.004136	7.035332	0.039401	36
spd[0.0_0.0_0.0_50.0]	988.172200	88.680200	179983.738000	0.169048	0.188890	0.002131	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	9.005354	16.482599	15.097072	6.789213	6.826266	0.038095	36
spd[0.0_0.0_0.0_-50.0]	-987.436300	-89.438800	-179979.611500	0.223709	0.132305	0.001828	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	15.898777	10.333516	14.095734	6.825938	6.789727	0.039669	36
spd[0.0_0.0_0.0_100.0]	1975.914500	178.310600	359964.421200	0.727239	0.523819	-0.001382	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	11.515380	22.522558	27.225684	6.161248	6.179299	0.035555	36
spd[0.0_0.0_0.0_-100.0]	-1975.294600	-179.077500	-359959.450900	0.696878	0.605549	-0.001490	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	20.786430	15.978638	25.043945	6.144810	6.195831	0.037928	36
spd[0.0_0.0_0.0_150.0]	2964.455200	269.242900	539945.144500	1.618312	1.282244	-0.007295	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	14.381939	25.879430	112.328467	5.250563	5.123314	0.031702	36
spd[0.0_0.0_0.0_-150.0]	-2964.282900	-269.783100	-539937.143600	1.571463	1.203265	-0.006746	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	23.759363	22.149302	176.912908	5.131288	5.242821	0.032919	36
spd[0.0_0.0_0.0_180.0]	3558.888700	325.058400	647929.615900	2.241081	1.880939	-0.011129	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	21.094623	5.278587	51.451932	5.748121	2.646856	0.032243	36
spd[0.0_0.0_0.0_-180.0]	-3558.257200	-325.414900	-647926.969000	2.328915	1.820826	-0.011623	71.000000	71.000000	71.000000	72.000000	72.000000	72.000000	27.877001	8.170360	77.795028	3.205963	5.456885	0.013412	36
spd[90.0_0.0_0.0_10.0]	35997.527400	-44.744700	-199.426100	0.002426	0.023997	-0.047423	72.000000	72.000000	72.000000	72.000000	72.000000	72.000000	2.761455	11.047947	10.238144	0.039734	7.007277	7.032514	36
spd[90.0_0.0_0.0_-10.0]	-35993.878100	43.993500	199.016900	0.002779	-0.033482	0.026603	72.000000	72.000000	72.000000	72.000000	72.000000	72.000000	2.817040	10.373394	11.372403	0.039432	7.025106	7.014804	36
spd[90.0_0.0_0.0_50.0]	179979.113300	-221.762000	-995.713500	0.002690	0.092971	-0.056170	72.000000	72.000000	72.000000	72.838333	72.838333	72.838333	13.806654	12.242288	9.556627	0.039222	6.825419	6.790582	36
spd[90.0_0.0_0.0_-50.0]	-179975.844300	221.008500	995.274600	0.002757	0.145391	-0.018667	72.000000	72.000000	72.000000	73.000000	73.000000	73.000000	13.306774	8.207113	13.441269	0.039167	6.789176	6.826755	36
